Period,Value
2014-01-01,7071
2014-02-01,7100
2014-03-01,7966
2014-04-01,7654
2014-05-01,8244
2014-06-01,7749
2014-07-01,8261
2014-08-01,8591
2014-09-01,8235
2014-10-01,8301
2014-11-01,8799
2014-12-01,10053
2015-01-01,7840
2015-02-01,7407
2015-03-01,8495
2015-04-01,8150
2015-05-01,8785
2015-06-01,8479
2015-07-01,9012
2015-08-01,9056
2015-09-01,8886
2015-10-01,9026
2015-11-01,9398
2015-12-01,10810
2016-01-01,8117
2016-02-01,8323
2016-03-01,9198
2016-04-01,8545
2016-05-01,8943
2016-06-01,9056
2016-07-01,9114
2016-08-01,9503
2016-09-01,9461
2016-10-01,8978
2016-11-01,9866
2016-12-01,10756
2017-01-01,8232
2017-02-01,8200
2017-03-01,9605
2017-04-01,8541
2017-05-01,9369
2017-06-01,9317
2017-07-01,9195
2017-08-01,9813
2017-09-01,9467
2017-10-01,9436
2017-11-01,10468
2017-12-01,11181
2018-01-01,8679
2018-02-01,8508
2018-03-01,9963
2018-04-01,9152
2018-05-01,9883
2018-06-01,9692
2018-07-01,9703
2018-08-01,10169
2018-09-01,9560
2018-10-01,9746
2018-11-01,10563
2018-12-01,10912
2019-01-01,8641
2019-02-01,8463
2019-03-01,9825
2019-04-01,9394
2019-05-01,10105
2019-06-01,9565
2019-07-01,9986
2019-08-01,10402
2019-09-01,9914
2019-10-01,10027
2019-11-01,10789
2019-12-01,10926
2020-01-01,9225
2020-02-01,9193
2020-03-01,7897
2020-04-01,3780
2020-05-01,7072
2020-06-01,9581
2020-07-01,10172
2020-08-01,10692
2020-09-01,10671
2020-10-01,10645
2020-11-01,10697
2020-12-01,11493
2021-01-01,10215
2021-02-01,9690
2021-03-01,12133
2021-04-01,11591
2021-05-01,11580
2021-06-01,11350
2021-07-01,11660
2021-08-01,11728
2021-09-01,11616
2021-10-01,11704
2021-11-01,12443
2021-12-01,12340
2022-01-01,10107
2022-02-01,10422
2022-03-01,12363
2022-04-01,11967
2022-05-01,11977
2022-06-01,11654
2022-07-01,11503
2022-08-01,12294
2022-09-01,11852
2022-10-01,11770
2022-11-01,12368
2022-12-01,12227
2023-01-01,11121
2023-02-01,10678
2023-03-01,12098
2023-04-01,10868
2023-05-01,11541
2023-06-01,11338
2023-07-01,10970
2023-08-01,11726
2023-09-01,11092
2023-10-01,10707
2023-11-01,11958
2023-12-01,11490
2024-01-01,9745
2024-02-01,10140
2024-03-01,10801
2024-04-01,10388
2024-05-01,11186
2024-06-01,10597
2024-07-01,11145
2024-08-01,11679
2024-09-01,11038
2024-10-01,11194
2024-11-01,12345
2024-12-01,12455
2025-01-01,10414
2025-02-01,10444
2025-03-01,11565
2025-04-01,11183
2025-05-01,NA
2025-06-01,NA
2025-07-01,NA
2025-08-01,NA
2025-09-01,NA
2025-10-01,NA
2025-11-01,NA
2025-12-01,NA
